female,year,area,obs,pred,YR_FL,loc_density,f_status,f_min_age,f_ALR,mean_age,delta_age,mean_age_LD,delta_age_LD,LR,HD,LD,CS,BS,hatch,ACW,FL,recruits
5173,38,4,7805,0,7.4,0.52,1,1,1,1,0,1,0,1,37,12,12,11,0.92,186,11,4
2491,38,6,3795,0,7.4,0.68,0,1,1,1,0,1,0,1,34,12,7,7,1,191,6,1
2243,40,9,3414,0,5.5,1.14,0,1,1,1,0,1,0,1,37,12,8,8,1,192,7,0
4224,31,4,6303,0,7.7,0.38,1,1,1,1,0,1,0,1,35,12,9,9,1,196,9,1
2486,38,8,3789,0,7.4,0.51,0,1,2,1,0,1,0,0,33,12,9,9,1,185,9,1
5125,38,4,7730,0,7.4,0.52,1,1,1,1,0,1,0,1,35,12,9,9,1,,0,0
1782,31,4,2698,0,7.7,0.38,0,1,1,1,0,1,0,1,34,12,10,10,1,209,10,1
4943,38,5,7457,0,7.4,1.14,1,1,1,1,0,1,0,1,35,12,10,10,1,177,10,3
5164,38,1,7789,0,7.4,1.4,1,1,1,1,0,1,0,1,36,12,10,10,1,188,10,1
2161,36,4,3289,0,7.5,0.46,0,1,1,1,0,1,0,1,34,12,11,11,1,176,11,4
5381,43,3,8119,0,6.8,0.77,0,1,1,1,0,1,0,1,34,12,11,11,1,177,10,2
4942,38,8,7456,0,7.4,0.51,1,1,1,1,0,1,0,1,35,13,10,8,0.8,178,8,0
1794,30,2,2718,0,6.8,1.12,0,1,1,1,0,1,0,1,32,13,7,6,0.86,186,6,2
5145,38,8,7763,0,7.4,0.51,1,1,1,1,0,1,0,1,37,13,10,9,0.9,194,9,1
5079,38,3,7663,0,7.4,0.83,1,1,1,1,0,1,0,1,36,13,10,9,0.9,190,9,1
5016,38,2,7571,0,7.4,1.39,1,1,1,1,0,1,0,1,38,13,11,10,0.91,176,10,1
3965,46,2,5966,0,6.2,1.71,1,1,1,1,0,1,0,1,38,13,11,10,0.91,173,10,2
3975,46,6,5977,0,6.2,0.75,1,1,1,1,0,1,0,1,40,13,12,11,0.92,144,11,1
4887,36,4,7368,0,7.5,0.46,1,1,1,1,0,1,0,1,40,13,13,12,0.92,189,12,3
5148,38,3,7766,0,7.4,0.83,1,1,1,1,0,1,0,1,33,13,8,8,1,191,8,1
4306,30,5,6426,0,6.8,1.01,1,1,1,1,0,1,0,1,36,13,8,8,1,159,8,0
5003,39,2,7553,0,6.7,1.23,1,1,1,1,0,1,0,1,37,13,8,8,1,184,8,2
2356,39,9,3591,0,6.7,1.37,0,1,1,1,0,1,0,1,39,13,8,8,1,201,5,0
1999,38,7,3007,0,7.4,0.25,0,1,2,1,0,1,0,0,34,13,9,9,1,181,9,0
4232,30,3,6313,0,6.8,0.63,1,1,1,1,0,1,0,1,39,13,9,9,1,,0,0
5097,38,7,7691,0,7.4,0.25,1,1,1,1,0,1,0,1,36,13,10,10,1,192,10,0
2642,45,5,4013,0,7.4,1.27,0,1,1,1,0,1,0,1,37,13,10,10,1,177,10,4
2717,43,7,4100,0,6.8,0.33,0,1,1,1,0,1,0,1,36,13,11,11,1,147,4,0
1990,38,8,2993,0,7.4,0.51,0,1,1,1,0,1,0,1,37,13,11,11,1,,0,0
4397,43,9,6541,0,6.8,1.67,1,1,1,1,0,1,0,1,35,14,10,2,0.2,193,2,0
2183,38,4,3322,0,7.4,0.52,0,1,1,1,0,1,0,1,36,14,9,3,0.33,196,3,0
2738,43,9,4125,0,6.8,1.67,0,1,1,1,0,1,0,1,35,14,10,7,0.7,198,7,0
2485,38,5,3788,0,7.4,1.14,0,1,1,1,0,1,0,1,34,14,7,5,0.71,194,5,0
4546,32,4,6807,0,6.8,0.2,1,1,1,1,0,1,0,1,40,14,8,6,0.75,184,6,0
5130,38,2,7740,0,7.4,1.39,1,1,1,1,0,1,0,1,36,14,9,7,0.78,198,7,0
2488,38,8,3791,0,7.4,0.51,0,1,2,1,0,1,0,0,38,14,10,8,0.8,194,8,1
3794,46,6,5731,0,6.2,0.75,0,1,1,1,0,1,0,1,37,14,8,7,0.88,176,7,0
2006,40,1,3022,0,5.5,0.82,0,1,1,1,0,1,0,1,38,14,8,7,0.88,204,5,0
5076,38,1,7660,0,7.4,1.4,1,1,1,1,0,1,0,1,35,14,8,7,0.88,187,6,0
4320,45,3,6441,0,7.4,0.43,1,1,1,1,0,1,0,1,37,14,9,8,0.89,196,7,1
3929,45,8,5921,0,7.4,0.62,1,1,1,1,0,1,0,1,35,14,9,8,0.89,171,8,0
5139,38,1,7755,0,7.4,1.4,1,1,1,1,0,1,0,1,39,14,9,8,0.89,157,8,1
3983,45,1,5987,0,7.4,1.43,1,1,1,1,0,1,0,1,35,14,9,8,0.89,182,8,0
4891,36,3,7379,0,7.5,0.73,1,1,1,1,0,1,0,1,36,14,11,10,0.91,189,10,2
2276,36,8,3464,0,7.5,0.51,0,1,1,1,0,1,0,1,38,14,12,11,0.92,181,11,0
5377,43,4,8114,0,6.8,0.46,1,1,1,1,0,1,0,1,35,14,7,7,1,181,6,0
5065,40,2,7644,0,5.5,0.96,1,1,1,1,0,1,0,1,57,14,7,7,1,,0,0
110,46,5,160,0,6.2,1.57,0,1,1,1,0,1,0,1,39,14,7,7,1,164,7,0
5132,38,9,7742,0,7.4,1.79,1,1,1,1,0,1,0,1,34,14,7,7,1,198,7,0
2490,38,6,3794,0,7.4,0.68,0,1,1,1,0,1,0,1,37,14,8,8,1,183,8,1
1868,31,2,2811,0,7.7,1.18,0,1,1,1,0,1,0,1,35,14,8,8,1,186,8,0
1993,38,1,3001,0,7.4,1.4,0,1,1,1,0,1,0,1,35,14,8,8,1,173,8,1
5262,43,1,7936,0,6.8,1.61,1,1,1,1,0,1,0,1,33,14,8,8,1,185,8,3
5263,43,1,7937,0,6.8,1.61,1,1,1,1,0,1,0,1,34,14,8,8,1,,0,0
5136,38,6,7751,0,7.4,0.68,1,1,1,1,0,1,0,1,35,14,9,9,1,184,8,2
4268,31,9,6364,0,7.7,0.87,1,1,1,1,0,1,0,1,39,14,9,9,1,195,9,2
4290,31,4,6395,0,7.7,0.38,1,1,1,1,0,1,0,1,38,14,10,10,1,193,10,0
2182,38,4,3321,0,7.4,0.52,0,1,1,1,0,1,0,1,37,14,10,10,1,189,10,1
2716,43,6,4099,0,6.8,0.56,0,1,1,1,0,1,0,1,35,14,10,10,1,173,10,0
1873,31,2,2816,0,7.7,1.18,0,1,1,1,0,1,0,1,37,14,10,10,1,193,9,1
1893,36,2,2840,0,7.5,1.18,0,1,2,1,0,1,0,0,38,14,10,10,1,181,10,1
3964,46,5,5965,0,6.2,1.57,1,1,1,1,0,1,0,1,37,14,11,11,1,172,10,0
4949,38,5,7466,0,7.4,1.14,1,1,1,1,0,1,0,1,35,15,9,3,0.33,186,2,0
5010,38,9,7563,0,7.4,1.79,1,1,1,1,0,1,0,1,36,15,8,5,0.63,186,5,0
2017,46,2,3038,0,6.2,1.71,0,1,1,1,0,1,0,1,36,15,6,4,0.67,,0,0
5384,43,2,8123,0,6.8,1.98,0,1,1,1,0,1,0,1,34,15,7,5,0.71,190,5,0
3831,45,2,5775,0,7.4,1.6,0,1,2,1,0,1,0,0,37,15,8,6,0.75,,0,0
4895,36,2,7387,0,7.5,1.18,1,1,2,1,0,1,0,0,36,15,9,7,0.78,186,7,3
4436,45,4,6609,0,7.4,0.42,1,1,1,1,0,1,0,1,37,15,8,7,0.88,,0,0
5013,38,3,7567,0,7.4,0.83,1,1,1,1,0,1,0,1,37,15,8,7,0.88,,0,0
4477,34,5,6680,0,7.6,1.53,1,1,1,1,0,1,0,1,36,15,8,7,0.88,,0,0
4072,47,3,6089,0,6.7,0.73,1,1,1,1,0,1,0,1,34,15,9,8,0.89,169,8,1
4597,34,5,6902,0,7.6,1.53,1,1,1,1,0,1,0,1,37,15,9,8,0.89,,0,0
3947,46,2,5946,0,6.2,1.71,1,1,1,1,0,1,0,1,37,15,9,8,0.89,184,8,0
3453,34,5,5186,0,7.6,1.53,1,1,1,1,0,1,0,1,38,15,12,11,0.92,185,11,1
4230,32,1,6311,0,6.8,0.54,1,1,1,1,0,1,0,1,40,15,4,4,1,183,4,1
1906,38,2,2865,0,7.4,1.39,0,1,1,1,0,1,0,1,37,15,6,6,1,189,6,0
1845,31,3,2780,0,7.7,0.57,1,1,1,1,0,1,0,1,34,15,7,7,1,184,7,0
5420,40,4,8173,0,5.5,0.38,1,1,1,1,0,1,0,1,38,15,8,8,1,183,8,2
4464,34,3,6660,0,7.6,0.83,1,1,1,1,0,1,0,1,35,15,8,8,1,184,8,1
1778,31,4,2694,0,7.7,0.38,0,1,1,1,0,1,0,1,37,15,9,9,1,185,9,0
1783,31,4,2699,0,7.7,0.38,0,1,1,1,0,1,0,1,36,15,9,9,1,187,9,1
4845,36,5,7300,0,7.5,1.01,1,1,1,1,0,1,0,1,36,15,9,9,1,185,9,1
1945,34,5,2933,0,7.6,1.53,0,1,1,1,0,1,0,1,38,15,9,9,1,192,9,1
4745,36,7,7139,0,7.5,0.17,1,1,1,1,0,1,0,1,39,15,10,10,1,169,10,2
5101,38,7,7695,0,7.4,0.25,1,1,1,1,0,1,0,1,39,15,10,10,1,119,6,0
3750,45,4,5674,0,7.4,0.42,0,1,1,1,0,1,0,1,39,15,10,10,1,194,10,0
2081,43,2,3151,0,6.8,1.98,0,1,1,1,0,1,0,1,37,15,10,10,1,150,10,0
5270,43,2,7948,0,6.8,1.98,1,1,1,1,0,1,0,1,37,15,10,10,1,176,10,0
3864,44,5,5829,0,5.1,1.92,1,1,1,1,0,1,0,1,38,15,11,11,1,171,6,0
3112,22,4,4686,0,7.4,0.42,1,1,1,1,0,1,0,1,43,15,12,12,1,196,12,0
5451,39,9,8224,0,6.7,1.37,1,1,1,1,0,1,0,1,36,16,8,5,0.63,198,5,0
2024,46,2,3050,0,6.2,1.71,0,1,1,1,0,1,0,1,42,16,9,6,0.67,184,6,1
2724,45,1,4107,0,7.4,1.43,0,1,1,1,0,1,0,1,39,16,8,6,0.75,,0,0
5168,38,8,7799,0,7.4,0.51,1,1,1,1,0,1,0,1,38,16,10,8,0.8,187,8,0
5149,38,8,7767,0,7.4,0.51,1,1,1,1,0,1,0,1,35,16,7,6,0.86,193,6,0
1994,38,1,3002,0,7.4,1.4,0,1,1,1,0,1,0,1,37,16,7,6,0.86,191,5,0
5174,38,6,7806,0,7.4,0.68,1,1,1,1,0,1,0,1,37,16,8,7,0.88,174,7,2
4282,31,1,6383,0,7.7,1.11,1,1,1,1,0,1,0,1,37,16,8,7,0.88,186,7,0
2461,40,5,3757,0,5.5,1.57,0,1,1,1,0,1,0,1,39,16,8,7,0.88,185,7,0
3768,46,5,5703,0,6.2,1.57,0,1,1,1,0,1,0,1,37,16,8,7,0.88,196,7,1
5161,45,2,7784,0,7.4,1.6,0,1,1,1,0,1,0,1,37,16,8,7,0.88,196,6,0
2018,46,2,3039,0,6.2,1.71,0,1,1,1,0,1,0,1,39,16,9,8,0.89,182,7,1
4549,32,4,6810,0,6.8,0.2,1,1,1,1,0,1,0,1,43,16,12,11,0.92,153,7,1
1871,31,2,2814,0,7.7,1.18,0,1,1,1,0,1,0,1,35,16,6,6,1,197,6,1
2736,43,4,4122,0,6.8,0.46,0,1,1,1,0,1,0,1,35,16,7,7,1,200,7,0
4860,36,4,7324,0,7.5,0.46,1,1,1,1,0,1,0,1,36,16,7,7,1,189,7,2
1894,36,2,2841,0,7.5,1.18,0,1,1,1,0,1,0,1,36,16,7,7,1,205,7,1
5247,46,2,7919,0,6.2,1.71,1,1,1,1,0,1,0,1,36,16,7,7,1,176,7,0
4280,31,1,6380,0,7.7,1.11,1,1,1,1,0,1,0,1,36,16,8,8,1,179,8,1
5124,38,2,7729,0,7.4,1.39,1,1,1,1,0,1,0,1,39,16,8,8,1,190,8,1
5077,38,1,7661,0,7.4,1.4,1,1,1,1,0,1,0,1,39,16,8,8,1,174,8,0
4634,34,5,6955,0,7.6,1.53,1,1,1,1,0,1,0,1,37,16,8,8,1,194,8,0
2184,38,9,3323,0,7.4,1.79,0,1,1,1,0,1,0,1,37,16,8,8,1,198,8,0
4852,36,1,7313,0,7.5,0.75,1,1,4,1,0,1,0,0,39,16,9,9,1,176,9,3
4229,30,5,6310,0,6.8,1.01,1,1,1,1,0,1,0,1,40,16,9,9,1,189,9,2
4747,36,5,7143,0,7.5,1.01,1,1,1,1,0,1,0,1,36,16,9,9,1,168,9,1
4223,31,1,6302,0,7.7,1.11,1,1,1,1,0,1,0,1,37,16,9,9,1,193,8,1
1943,34,5,2930,0,7.6,1.53,0,1,1,1,0,1,0,1,37,16,9,9,1,179,9,0
3084,22,4,4652,0,7.4,0.42,1,1,1,1,0,1,0,1,42,16,10,10,1,188,9,2
2232,38,4,3403,0,7.4,0.52,0,1,1,1,0,1,0,1,37,16,10,10,1,193,10,0
71,24,4,112,0,7.3,0.65,0,1,1,1,0,1,0,1,39,16,10,10,1,180,7,1
2111,34,4,3204,0,7.6,0.44,0,1,1,1,0,1,0,1,39,16,11,11,1,184,11,3
2169,36,4,3302,0,7.5,0.46,0,1,1,1,0,1,0,1,39,16,11,11,1,187,11,4
1850,31,6,2787,0,7.7,0.49,0,1,1,1,0,1,0,1,42,16,11,11,1,191,11,0
4225,31,5,6304,0,7.7,0.83,1,1,3,1,0,1,0,0,40,16,11,11,1,192,10,0
4544,32,4,6805,0,6.8,0.2,1,1,1,1,0,1,0,1,44,16,12,12,1,180,8,2
3736,46,6,5658,0,6.2,0.75,0,1,1,1,0,1,0,1,41,17,11,4,0.36,147,4,0
2073,42,2,3141,0,5.6,1.55,0,1,2,1,0,1,0,0,43,17,8,5,0.63,187,4,0
3852,46,6,5816,0,6.2,0.75,1,1,1,1,0,1,0,1,44,17,12,8,0.67,,0,0
4899,36,8,7395,0,7.5,0.51,1,1,1,1,0,1,0,1,38,17,7,5,0.71,195,5,2
2758,43,4,4159,0,6.8,0.46,0,1,1,1,0,1,0,1,44,17,14,10,0.71,193,10,1
1604,42,6,2422,0,5.6,0.64,0,1,2,1,0,1,0,0,42,17,8,6,0.75,180,6,0
5012,38,4,7566,0,7.4,0.52,1,1,1,1,0,1,0,1,41,17,10,8,0.8,187,8,0
4264,31,9,6358,0,7.7,0.87,1,1,1,1,0,1,0,1,39,17,10,8,0.8,202,8,0
4451,34,4,6632,0,7.6,0.44,1,1,1,1,0,1,0,1,39,17,11,9,0.82,182,9,1
3871,44,5,5839,0,5.1,1.92,1,1,1,1,0,1,0,1,46,17,12,10,0.83,175,6,1
4655,36,6,6989,0,7.5,0.65,1,1,1,1,0,1,0,1,41,17,7,6,0.86,188,6,2
1872,31,2,2815,0,7.7,1.18,0,1,1,1,0,1,0,1,37,17,7,6,0.86,,0,0
4244,30,3,6329,0,6.8,0.63,1,1,1,1,0,1,0,1,39,17,8,7,0.88,198,7,2
4251,30,4,6340,0,6.8,0.41,1,1,1,1,0,1,0,1,41,17,9,8,0.89,186,8,3
2092,34,3,3167,0,7.6,0.83,0,1,1,1,0,1,0,1,37,17,9,8,0.89,,0,0
4461,34,3,6655,0,7.6,0.83,1,1,1,1,0,1,0,1,38,17,9,8,0.89,182,8,1
3948,46,1,5947,0,6.2,1.04,1,1,1,1,0,1,0,1,38,17,9,8,0.89,179,8,0
4589,34,1,6881,0,7.6,1.29,1,1,1,1,0,1,0,1,38,17,9,8,0.89,192,8,2
1954,34,5,2944,0,7.6,1.53,0,1,1,1,0,1,0,1,41,17,11,10,0.91,195,10,1
4437,45,4,6610,0,7.4,0.42,1,1,1,1,0,1,0,1,41,17,12,11,0.92,187,11,3
2654,46,7,4029,0,6.2,0.5,0,1,1,1,0,1,0,1,42,17,4,4,1,,0,0
1812,46,4,2738,0,6.2,0.51,0,1,1,1,0,1,0,1,35,17,5,5,1,153,4,0
1895,36,2,2842,0,7.5,1.18,0,1,1,1,0,1,0,1,37,17,7,7,1,191,7,0
4793,36,2,7213,0,7.5,1.18,1,1,1,1,0,1,0,1,38,17,7,7,1,151,6,0
2426,43,1,3694,0,6.8,1.61,0,1,1,1,0,1,0,1,38,17,7,7,1,188,7,1
5390,43,2,8129,0,6.8,1.98,1,1,1,1,0,1,0,1,37,17,7,7,1,199,7,0
4289,31,4,6394,0,7.7,0.38,1,1,1,1,0,1,0,1,38,17,8,8,1,184,8,1
3085,22,3,4653,0,7.4,0.5,1,1,1,1,0,1,0,1,39,17,8,8,1,195,8,1
4292,31,3,6398,0,7.7,0.57,1,1,1,1,0,1,0,1,36,17,8,8,1,198,8,2
1800,31,1,2724,0,7.7,1.11,0,1,1,1,0,1,0,1,37,17,8,8,1,196,7,0
4844,36,5,7299,0,7.5,1.01,1,1,1,1,0,1,0,1,39,17,9,9,1,194,9,1
4287,30,2,6392,0,6.8,1.12,1,1,1,1,0,1,0,1,40,17,9,9,1,189,9,5
1892,36,2,2839,0,7.5,1.18,0,1,1,1,0,1,0,1,36,17,9,9,1,208,9,0
4588,34,1,6880,0,7.6,1.29,1,1,1,1,0,1,0,1,40,17,9,9,1,194,9,4
3005,22,4,4521,0,7.4,0.42,0,1,1,1,0,1,0,1,44,17,10,10,1,187,10,1
3751,45,4,5676,0,7.4,0.42,0,1,1,1,0,1,0,1,39,17,10,10,1,194,10,0
2211,34,6,3367,0,7.6,0.53,0,1,1,1,0,1,0,1,38,17,10,10,1,199,10,1
2603,22,9,3958,0,7.4,0.95,0,1,1,1,0,1,0,1,46,17,10,10,1,185,10,0
4875,39,5,7346,0,6.7,1.05,1,1,1,1,0,1,0,1,39,17,10,10,1,184,6,1
2646,45,5,4018,0,7.4,1.27,0,1,1,1,0,1,0,1,39,17,10,10,1,185,10,1
218,2,9,336,1,6,1.06,1,1,1,1,0,1,0,1,39,17,10,10,1,199,10,1
2969,21,8,4461,0,8.6,0.56,1,1,1,1,0,1,0,1,40,17,11,11,1,191,11,3
4843,36,5,7298,0,7.5,1.01,1,1,1,1,0,1,0,1,41,17,11,11,1,191,10,2
1572,28,5,2359,0,8.9,1.05,0,1,1,1,0,1,0,1,39,17,11,11,1,187,11,2
3238,22,5,4867,0,7.4,0.92,0,1,1,1,0,1,0,1,46,17,12,12,1,188,12,1
5243,46,2,7915,0,6.2,1.71,1,1,1,1,0,1,0,1,42,18,8,3,0.38,178,3,0
1813,46,9,2739,0,6.2,1.71,0,1,1,1,0,1,0,1,40,18,10,6,0.6,190,6,1
4308,30,5,6428,0,6.8,1.01,1,1,2,1,0,1,0,0,42,18,9,6,0.67,191,6,0
1746,30,4,2645,0,6.8,0.41,0,1,1,1,0,1,0,1,44,18,10,7,0.7,184,7,0
2643,45,5,4014,0,7.4,1.27,0,1,1,1,0,1,0,1,39,18,8,6,0.75,158,6,0
4250,30,9,6339,0,6.8,1.22,1,1,1,1,0,1,0,1,42,18,10,8,0.8,193,8,1
4527,34,1,6769,0,7.6,1.29,1,1,1,1,0,1,0,1,45,18,12,10,0.83,182,10,2
5143,38,9,7760,0,7.4,1.79,1,1,2,1,0,1,0,0,38,18,7,6,0.86,197,6,0
5141,38,6,7757,0,7.4,0.68,1,1,1,1,0,1,0,1,39,18,8,7,0.88,185,7,1
4508,34,2,6742,0,7.6,0.91,1,1,1,1,0,1,0,1,38,18,8,7,0.88,187,6,2
1947,34,1,2936,0,7.6,1.29,0,1,1,1,0,1,0,1,40,18,8,7,0.88,196,7,0
1804,31,1,2729,0,7.7,1.11,1,1,1,1,0,1,0,1,40,18,9,8,0.89,184,8,0
3873,44,1,5844,0,5.1,1.83,1,1,1,1,0,1,0,1,42,18,9,8,0.89,149,4,0
3011,22,4,4529,0,7.4,0.42,1,1,1,1,0,1,0,1,44,18,10,9,0.9,,9,0
3111,22,6,4685,0,7.4,0.49,1,1,1,1,0,1,0,1,44,18,10,9,0.9,189,8,2
4857,36,1,7321,0,7.5,0.75,1,1,1,1,0,1,0,1,40,18,10,9,0.9,186,9,0
3797,46,8,5734,0,6.2,0.84,0,1,1,1,0,1,0,1,40,18,10,9,0.9,175,9,2
4731,35,5,7119,0,6.9,1.01,1,1,1,1,0,1,0,1,41,18,10,9,0.9,203,9,0
5373,43,9,8106,0,6.8,1.67,1,1,1,1,0,1,0,1,40,18,10,9,0.9,198,9,0
1742,30,4,2640,0,6.8,0.41,0,1,1,1,0,1,0,1,42,18,11,10,0.91,188,10,1
4496,34,4,6719,0,7.6,0.44,1,1,1,1,0,1,0,1,43,18,13,12,0.92,178,12,3
1869,31,2,2812,0,7.7,1.18,0,1,1,1,0,1,0,1,36,18,6,6,1,187,6,1
2015,46,2,3035,0,6.2,1.71,0,1,1,1,0,1,0,1,35,18,6,6,1,192,6,0
5078,38,7,7662,0,7.4,0.25,1,1,1,1,0,1,0,1,38,18,7,7,1,182,5,1
5259,43,1,7933,0,6.8,1.61,1,1,1,1,0,1,0,1,36,18,7,7,1,202,7,3
1736,30,3,2631,0,6.8,0.63,0,1,1,1,0,1,0,1,39,18,8,8,1,182,8,1
4275,30,5,6373,0,6.8,1.01,1,1,2,1,0,1,0,0,38,18,8,8,1,188,8,1
4065,47,5,6082,0,6.7,1.66,1,1,1,1,0,1,0,1,38,18,8,8,1,174,8,2
2060,41,2,3111,0,7,1.76,0,1,1,1,0,1,0,1,40,18,8,8,1,174,8,3
5343,44,5,8064,0,5.1,1.92,1,1,1,1,0,1,0,1,38,18,8,8,1,187,8,0
219,2,2,337,1,6,0.96,1,1,1,1,0,1,0,1,36,18,8,8,1,195,8,1
2862,18,4,4295,0,5.8,0.32,1,1,1,1,0,1,0,1,46,18,9,9,1,204,6,1
4466,34,4,6662,0,7.6,0.44,1,1,1,1,0,1,0,1,40,18,9,9,1,193,9,0
